message,severity,attributes,tags,timestamp
Starting Container,info,"{""level"":""info""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""6a7b1b16-398c-4481-9870-c1f0ee86e045"",""deployment"":""83fe4a78-2a5b-49a6-b219-28c9dee4bc7c"",""replica"":""bbc6a199-cdcb-468c-baed-58c3d3cea3ef""}",2026-05-05T08:15:51.136435896Z
Error: Cannot find module '/app/artifacts/api-server/dist/index.mjs',error,"{""level"":""error""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""6a7b1b16-398c-4481-9870-c1f0ee86e045"",""deployment"":""83fe4a78-2a5b-49a6-b219-28c9dee4bc7c"",""replica"":""bbc6a199-cdcb-468c-baed-58c3d3cea3ef""}",2026-05-05T08:15:51.522911806Z
    at Function._resolveFilename (node:internal/modules/cjs/loader:1383:15),error,"{""level"":""error""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""6a7b1b16-398c-4481-9870-c1f0ee86e045"",""deployment"":""83fe4a78-2a5b-49a6-b219-28c9dee4bc7c"",""replica"":""bbc6a199-cdcb-468c-baed-58c3d3cea3ef""}",2026-05-05T08:15:51.522919576Z
    at defaultResolveImpl (node:internal/modules/cjs/loader:1025:19),error,"{""level"":""error""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""6a7b1b16-398c-4481-9870-c1f0ee86e045"",""deployment"":""83fe4a78-2a5b-49a6-b219-28c9dee4bc7c"",""replica"":""bbc6a199-cdcb-468c-baed-58c3d3cea3ef""}",2026-05-05T08:15:51.522923843Z
    at resolveForCJSWithHooks (node:internal/modules/cjs/loader:1030:22),error,"{""level"":""error""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""6a7b1b16-398c-4481-9870-c1f0ee86e045"",""deployment"":""83fe4a78-2a5b-49a6-b219-28c9dee4bc7c"",""replica"":""bbc6a199-cdcb-468c-baed-58c3d3cea3ef""}",2026-05-05T08:15:51.522927641Z
    at Function._load (node:internal/modules/cjs/loader:1192:37),error,"{""level"":""error""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""6a7b1b16-398c-4481-9870-c1f0ee86e045"",""deployment"":""83fe4a78-2a5b-49a6-b219-28c9dee4bc7c"",""replica"":""bbc6a199-cdcb-468c-baed-58c3d3cea3ef""}",2026-05-05T08:15:51.522931943Z
,info,"{""level"":""info""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""6a7b1b16-398c-4481-9870-c1f0ee86e045"",""deployment"":""83fe4a78-2a5b-49a6-b219-28c9dee4bc7c"",""replica"":""bbc6a199-cdcb-468c-baed-58c3d3cea3ef""}",2026-05-05T08:15:51.522933645Z
    at TracingChannel.traceSync (node:diagnostics_channel:328:14),error,"{""level"":""error""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""6a7b1b16-398c-4481-9870-c1f0ee86e045"",""deployment"":""83fe4a78-2a5b-49a6-b219-28c9dee4bc7c"",""replica"":""bbc6a199-cdcb-468c-baed-58c3d3cea3ef""}",2026-05-05T08:15:51.522938593Z
> @workspace/api-server@0.0.0 start /app/artifacts/api-server,info,"{""level"":""info""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""6a7b1b16-398c-4481-9870-c1f0ee86e045"",""deployment"":""83fe4a78-2a5b-49a6-b219-28c9dee4bc7c"",""replica"":""bbc6a199-cdcb-468c-baed-58c3d3cea3ef""}",2026-05-05T08:15:51.522938799Z
> node --enable-source-maps ./dist/index.mjs,info,"{""level"":""info""}","{""project"":""a964056b-6231-477f-9e7e-d8bc3a289d28"",""environment"":""26a57f03-0ca7-4105-ae40-a714fb9d3d48"",""service"":""6a7b1b16-398c-4481-9870-c1f0ee86e045"",""deployment"":""83fe4a78-2a5b-49a6-b219-28c9dee4bc7c"",""replica"":""bbc6a199-cdcb-468c-baed-58c3d3cea3ef""}",2026-05-05T08:15:51.522943483Z
